(BizFavoriteCliDialog.java:107) : codNum : C2410, codType : CM, codName : ADD-NBR-GSM
(BizFavoriteCliDialog.java:107) : codNum : C2411, codType : CM, codName : DEL-NBR-GSM
(BizFavoriteCliDialog.java:107) : codNum : C2412, codType : CM, codName : DIS-EGTP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2413, codType : CM, codName : CHG-EGTP-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2414, codType : CM, codName : DIS-RIM-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2415, codType : CM, codName : CHG-RIM-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2417, codType : CM, codName : CHG-GERANMEAS-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2416, codType : CM, codName : DIS-GERANMEAS-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2418, codType : CM, codName : DIS-RATPRIORITY-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2419, codType : CM, codName : CHG-RATPRIORITY-INFO
(BizFavoriteCliDialog.java:107) : codNum : C2420, codType : CM, codName : DIS-LTE-COMMON
(BizFavoriteCliDialog.java:107) : codNum : C2421, codType : CM, codName : CHG-LTE-COMMON
(BizFavoriteCliDialog.java:107) : codNum : C3001, codType : FM, codName : DIS-ALM-STS
(BizFavoriteCliDialog.java:107) : codNum : C3301, codType : FM, codName : DIS-ALM-CTRL
(BizFavoriteCliDialog.java:107) : codNum : C3302, codType : FM, codName : CHG-ENODEB-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3303, codType : FM, codName : CHG-CWMPC-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3304, codType : FM, codName : CHG-HTTPD-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3305, codType : FM, codName : CHG-LTEPHY-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3306, codType : FM, codName : CHG-S1MME-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3307, codType : FM, codName : CHG-WAN-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3308, codType : FM, codName : CHG-IPSEC-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3309, codType : FM, codName : CHG-HPSIM-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3310, codType : FM, codName : CHG-I1588-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3311, codType : FM, codName : CHG-GPS-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3312, codType : FM, codName : CHG-CPU-ALM
